,PSZACcontroller_oveHeaCor_u,PSZACcontroller_oveHeaPer1_u,PSZACcontroller_oveHeaPer2_u,PSZACcontroller_oveHeaPer3_u,PSZACcontroller_oveHeaPer4_u,TDryBul,HGloHor,Occupancy[core_zn],Occupancy[perimeter_zn_1],Occupancy[perimeter_zn_2],Occupancy[perimeter_zn_3],Occupancy[perimeter_zn_4],senTemRoom_y,senTemRoom1_y,senTemRoom2_y,senTemRoom3_y,senTemRoom4_y,timestamp
2020-01-19 11:25:00,0.204,0.254,0.527,0.305,0.722,0.6,221.66666666666666,14.2177,10.77775,6.3935,10.77775,6.3935,306.7835063955967,305.84222531413377,313.7133142619637,305.30176798566663,317.0000365208478,2020-01-19 11:25:00
2020-01-19 11:30:00,0.204,0.254,0.527,0.305,0.722,0.6,221.0,14.2177,10.77775,6.3935,10.77775,6.3935,306.7504227126841,305.84358771364396,313.68382311138174,305.3179878359163,317.04092472678656,2020-01-19 11:30:00
2020-01-19 11:35:00,0.204,0.254,0.527,0.305,0.722,0.6,220.33333333333334,14.2177,10.77775,6.3935,10.77775,6.3935,306.7376395739145,305.8348345897061,313.72510093009413,305.3201653174391,316.9654146566313,2020-01-19 11:35:00
2020-01-19 11:40:00,0.204,0.254,0.527,0.305,0.722,0.6,219.66666666666666,14.2177,10.77775,6.3935,10.77775,6.3935,306.72524391430807,305.8265435196202,313.7636456404946,305.32240336336724,316.8947743744239,2020-01-19 11:40:00
2020-01-19 11:45:00,0.204,0.254,0.527,0.305,0.722,0.6,219.0,14.2177,10.77775,6.3935,10.77775,6.3935,306.72372844864174,305.8197287642553,313.7506681177331,305.3274187081314,317.0195382906883,2020-01-19 11:45:00
2020-01-19 11:50:00,0.232,0.293,0.465,0.346,0.764,0.6,218.33333333333334,14.2177,10.77775,6.3935,10.77775,6.3935,306.94027463132505,306.12648883578987,313.07034937878626,305.65638605553534,317.56851290590146,2020-01-19 11:50:00
2020-01-19 11:55:00,0.232,0.293,0.465,0.346,0.764,0.6,217.66666666666666,14.2177,10.77775,6.3935,10.77775,6.3935,307.0509028924319,306.2672193506477,312.8624146844576,305.80448693460573,317.6846271195811,2020-01-19 11:55:00
2020-01-19 12:00:00,0.232,0.293,0.465,0.346,0.764,0.6,217.0,7.483,5.6725,3.365,5.6725,3.365,307.1580170646439,306.4042381988813,312.65372182696325,305.94872625886495,317.80407161045747,2020-01-19 12:00:00
2020-01-19 12:05:00,0.232,0.293,0.465,0.346,0.764,0.5499999999999999,216.83333333333334,7.483,5.6725,3.365,5.6725,3.365,307.0258105200296,306.2218452905521,312.80773645845267,305.76208783134666,317.6171855512328,2020-01-19 12:05:00
2020-01-19 12:10:00,0.232,0.293,0.465,0.346,0.764,0.5,216.66666666666666,7.483,5.6725,3.365,5.6725,3.365,306.9007208510168,306.0498502088055,312.9500543582662,305.58613158290035,317.44263685424096,2020-01-19 12:10:00
