Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),WaterSystems:NaturalGas [J](Hourly) 
 07/22  13:00:00,358664989.2149262,0.0,136459444.43937669,96494976.4221072,0.0,111522404.99353579,14157779.021082968,30384.338823529408,3972489.175738949,0.0,3972489.175738949 
 07/22  14:00:00,239300054.2081484,0.0,120018261.49724983,28948492.926632167,0.0,76794131.8471234,13508783.59831947,30384.338823529408,72000.0,0.0,72000.0 
 07/22  15:00:00,229401412.66666688,0.0,114947908.14603007,28948492.926632167,0.0,72170307.67129924,13304319.583881837,30384.338823529408,3971528.8765136178,0.0,3971528.8765136178 
 07/22  16:00:00,250275611.9326908,0.0,134685129.786169,28948492.926632167,0.0,73326263.71525528,13285341.165810822,30384.338823529408,3971735.5120019565,0.0,3971735.5120019565 
 07/22  17:00:00,215195156.73229716,280537.1281559477,127116674.34029556,9649497.642210719,0.0,64832722.11700059,13285341.165810822,30384.338823529408,72000.0,0.0,72000.0 
 07/22  18:00:00,67576867.83429857,0.0,0.0,9649497.642210719,0.0,57896985.85326433,0.0,30384.33882352941,3970998.89722328,0.0,3970998.89722328 
 07/22  19:00:00,67576867.83429857,0.0,0.0,9649497.642210719,0.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0 
 07/22  20:00:00,103106467.83429855,0.0,0.0,9649497.642210719,35529600.0,57896985.85326433,0.0,30384.338823529408,3970394.033289509,0.0,3970394.033289509 
 07/22  21:00:00,120871267.83429855,0.0,0.0,9649497.642210719,53294400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0 
 07/22  22:00:00,120871267.83429855,0.0,0.0,9649497.642210719,53294400.0,57896985.85326433,0.0,30384.338823529408,3970446.2196111835,0.0,3970446.2196111835 
 07/22  23:00:00,120871267.83429855,0.0,0.0,9649497.642210719,53294400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0 
 07/22  24:00:00,120871267.83429855,0.0,0.0,9649497.642210719,53294400.0,57896985.85326433,0.0,30384.338823529408,3970607.929078871,0.0,3970607.929078871 
 07/23  01:00:00,120871267.83429855,0.0,0.0,9649497.642210719,53294400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0 
 07/23  02:00:00,120871267.83429855,0.0,0.0,9649497.642210719,53294400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0 
 07/23  03:00:00,120871267.83429855,0.0,0.0,9649497.642210719,53294400.0,57896985.85326433,0.0,30384.338823529408,3970532.069754856,0.0,3970532.069754856 
 07/23  04:00:00,120871267.83429855,0.0,0.0,9649497.642210719,53294400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0 
 07/23  05:00:00,111988867.83429855,0.0,0.0,9649497.642210719,44412000.0,57896985.85326433,0.0,30384.338823529408,3970783.9955418368,0.0,3970783.9955418368 
 07/23  06:00:00,67576867.83429857,0.0,0.0,9649497.642210719,0.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0 
 07/23  07:00:00,110869765.43359484,0.0,36616321.71254723,9649497.642210719,0.0,57896985.85326433,6676575.886749042,30384.338823529408,72000.0,0.0,72000.0 
 07/23  08:00:00,146993682.16036017,0.0,68995389.67541637,9649497.642210719,0.0,57896985.85326433,10421424.650645219,30384.33882352941,3970757.710872635,0.0,3970757.710872635 
 07/23  09:00:00,150386344.0343862,0.0,73172673.23416177,9649497.642210719,0.0,57896985.85326433,9636802.96592585,30384.33882352941,72000.0,0.0,72000.0 
 07/23  10:00:00,155302241.3981806,0.0,77269587.80689845,9649497.642210719,0.0,57896985.85326433,10455785.756983594,30384.33882352941,3970761.009370774,0.0,3970761.009370774 
 07/23  11:00:00,144657414.04223848,0.0,67692680.6755243,9649497.642210719,0.0,57896985.85326433,9387865.532415638,30384.33882352941,72000.0,0.0,72000.0 
 07/23  12:00:00,126416062.08219904,0.0,52058608.04872985,9649497.642210719,0.0,57896985.85326433,6780586.199170627,30384.33882352941,3970853.016268777,0.0,3970853.016268777 
 07/23  13:00:00,129021160.3398831,0.0,54603246.73119718,9649497.642210719,0.0,57896985.85326433,6841045.774387362,30384.33882352941,72000.0,0.0,72000.0 
 07/23  14:00:00,152024681.60783208,0.0,75201178.66218432,9649497.642210719,0.0,57896985.85326433,9246635.111349196,30384.33882352941,3970927.162197753,0.0,3970927.162197753 
 07/23  15:00:00,74709370.71174033,0.0,6379105.653870076,9649497.642210719,0.0,57896985.85326433,753397.2235716919,30384.33882352941,72000.0,0.0,72000.0 
 07/23  16:00:00,75234544.49335008,0.0,6904279.435479826,9649497.642210719,0.0,57896985.85326433,753397.2235716919,30384.338823529408,72000.0,0.0,72000.0 
 07/23  17:00:00,124682063.65872237,0.0,51798651.56251097,9649497.642210719,0.0,57896985.85326433,5306544.261912828,30384.33882352941,3970686.886221199,0.0,3970686.886221199 
 07/23  18:00:00,76014536.30362265,0.0,7684271.245752398,9649497.642210719,0.0,57896985.85326433,753397.2235716917,30384.33882352941,72000.0,0.0,72000.0 
 07/23  19:00:00,67576867.83429857,0.0,0.0,9649497.642210719,0.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0 
 07/23  20:00:00,111988867.83429855,0.0,0.0,9649497.642210719,44412000.0,57896985.85326433,0.0,30384.338823529408,3970017.39872396,0.0,3970017.39872396 
 07/23  21:00:00,120871267.83429855,0.0,0.0,9649497.642210719,53294400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0 
 07/23  22:00:00,120871267.83429855,0.0,0.0,9649497.642210719,53294400.0,57896985.85326433,0.0,30384.338823529408,3970043.1004897679,0.0,3970043.1004897679 
 07/23  23:00:00,120871267.83429855,0.0,0.0,9649497.642210719,53294400.0,57896985.85326433,0.0,30384.338823529408,72000.0,0.0,72000.0 
 07/23  24:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0 
