,senHeaPow1_y,PSZACcontroller_oveHeaPer1_u,TDryBul,HGloHor,Occupancy[perimeter_zn_1],senTemRoom1_y,timestamp
2020-01-01 10:25:00,0.0,0.0,-4.291666666666666,350.5833333333333,0.0,293.56853475293786,2020-01-01 10:25:00
2020-01-01 10:30:00,0.0,0.0,-4.15,352.5,0.0,293.65163598710006,2020-01-01 10:30:00
2020-01-01 10:35:00,0.0,0.0,-4.008333333333333,354.4166666666667,0.0,293.697056122706,2020-01-01 10:35:00
2020-01-01 10:40:00,0.0,0.0,-3.8666666666666663,356.3333333333333,0.0,293.74281579250385,2020-01-01 10:40:00
2020-01-01 10:45:00,0.0,0.0,-3.7249999999999996,358.25,0.0,293.7735882950612,2020-01-01 10:45:00
2020-01-01 10:50:00,0.0,0.0,-3.583333333333333,360.1666666666667,0.0,293.80475933842513,2020-01-01 10:50:00
2020-01-01 10:55:00,0.0,0.0,-3.4416666666666664,362.0833333333333,0.0,293.8360020347521,2020-01-01 10:55:00
2020-01-01 11:00:00,0.0,0.0,-3.3,364.0,0.0,293.8675771824863,2020-01-01 11:00:00
2020-01-01 11:05:00,0.0,0.0,-3.208333333333333,352.9166666666667,0.0,293.8927323826401,2020-01-01 11:05:00
2020-01-01 11:10:00,0.0,0.0,-3.1166666666666667,341.8333333333333,0.0,293.91819523557155,2020-01-01 11:10:00
2020-01-01 11:15:00,0.0,0.0,-3.025,330.75,0.0,293.9282085051033,2020-01-01 11:15:00
2020-01-01 11:20:00,0.0,0.0,-2.933333333333333,319.6666666666667,0.0,293.93858352567514,2020-01-01 11:20:00
2020-01-01 11:25:00,0.0,0.0,-2.841666666666667,308.5833333333333,0.0,293.9491942325897,2020-01-01 11:25:00
2020-01-01 11:30:00,0.0,0.0,-2.75,297.5,0.0,293.960084266068,2020-01-01 11:30:00
2020-01-01 11:35:00,0.0,0.0,-2.658333333333333,286.41666666666663,0.0,293.9318931914872,2020-01-01 11:35:00
2020-01-01 11:40:00,0.0,0.0,-2.566666666666667,275.3333333333333,0.0,293.9042165586609,2020-01-01 11:40:00
2020-01-01 11:45:00,0.0,0.0,-2.475,264.25,0.0,293.8537329609797,2020-01-01 11:45:00
2020-01-01 11:50:00,0.0,0.0,-2.3833333333333337,253.16666666666666,0.0,293.8038480916632,2020-01-01 11:50:00
2020-01-01 11:55:00,0.0,0.0,-2.291666666666667,242.08333333333331,0.0,293.7188633238334,2020-01-01 11:55:00
2020-01-01 12:00:00,0.0,0.0,-2.2,231.0,0.0,293.63463442984784,2020-01-01 12:00:00
2020-01-01 12:05:00,0.0,0.0,-2.1083333333333334,226.75,0.0,293.55562754184194,2020-01-01 12:05:00
2020-01-01 12:10:00,0.0,0.0,-2.0166666666666666,222.5,0.0,293.47717887620126,2020-01-01 12:10:00
2020-01-01 12:15:00,0.0,0.0,-1.9250000000000003,218.25,0.0,293.39836080420196,2020-01-01 12:15:00
2020-01-01 12:20:00,0.0,0.0,-1.8333333333333335,214.0,0.0,293.3199629044737,2020-01-01 12:20:00
2020-01-01 12:25:00,0.0,0.0,-1.7416666666666667,209.75,0.0,293.20635346537193,2020-01-01 12:25:00
2020-01-01 12:30:00,0.0,0.0,-1.6500000000000001,205.5,0.0,293.0933289150976,2020-01-01 12:30:00
2020-01-01 12:35:00,0.0,0.0,-1.5583333333333336,201.25,0.0,293.0243306398266,2020-01-01 12:35:00
