,Time,datetime,T_OA,HgloHor1,Core_OccN,CORE_IntGaiTot,Core_HeaPow,Core_FanPow,Core_OAVol,P1_OccN,P1_IntGaiTot,P1_HeaPow,P1_FanPow,P1_OAVol,P2_OccN,P2_IntGaiTot,P2_HeaPow,P2_FanPow,P2_OAVol,P3_OccN,P3_IntGaiTot,P3_HeaPow,P3_FanPow,P3_OAVol,P4_OccN,P4_IntGaiTot,P4_HeaPow,P4_FanPow,P4_OAVol
528815,31815300,2020-01-04 05:35:00,269.85,0.0,0.0,805.156812,0.0,5.898723,0.00014714492,0.0,610.361,0.0,7.4810686,3.0923282e-05,0.0,362.074,0.0,7.4817643,7.4817643,0.0,610.361,0.0,7.123713,0.098213725,0.0,362.074,0.0,7.7457194,2.4395758e-06
528820,31815600,2020-01-04 05:40:00,269.85,0.0,0.0,805.156812,0.0,5.898723,0.00014714492,0.0,610.361,0.0,7.4810686,3.0923282e-05,0.0,362.074,0.0,7.4817643,7.4817643,0.0,610.361,0.0,7.123713,0.098213725,0.0,362.074,0.0,7.7457194,2.4396077e-06
528825,31815900,2020-01-04 05:45:00,269.85,0.0,0.0,805.156812,0.0,5.898723,0.00014714492,0.0,610.361,0.0,7.4810686,3.0923282e-05,0.0,362.074,0.0,7.4817643,7.4817643,0.0,610.361,0.0,7.123713,0.098213725,0.0,362.074,0.0,7.7457194,2.439636e-06
528830,31816200,2020-01-04 05:50:00,269.85,0.0,0.0,805.156812,0.0,5.898723,0.00014714492,0.0,610.361,0.0,7.4810686,3.0923282e-05,0.0,362.074,0.0,7.4817643,7.4817643,0.0,610.361,0.0,7.123713,0.098213725,0.0,362.074,0.0,7.7457194,2.4396613e-06
528835,31816500,2020-01-04 05:55:00,269.85,0.0,0.0,805.156812,0.0,5.898723,0.00014714492,0.0,610.361,0.0,7.4810686,3.0923282e-05,0.0,362.074,0.0,7.4817643,7.4817643,0.0,610.361,0.0,7.123713,0.098213725,0.0,362.074,0.0,7.7457194,2.4396836e-06
528840,31816800,2020-01-04 06:00:00,269.85,0.0,0.805475780409042,901.813905649085,0.0,5.898723,0.00014714492,0.610602798708289,683.633335844995,0.0,7.4810686,3.0923282e-05,0.36221743810549,405.540092572659,0.0,7.4817643,7.4817643,0.610602798708289,683.633335844995,0.0,7.123713,0.098213725,0.36221743810549,405.540092572659,0.0,7.7457194,2.4397034e-06
528845,31817100,2020-01-04 06:05:00,269.8581,0.0,0.805475780409042,901.813905649085,162.65915,518.05035,0.0026652685,0.610602798708289,683.633335844995,1896.951,380.25958,0.0005336495,0.36221743810549,405.540092572659,1058.3633,351.22708,1409.5905,0.610602798708289,683.633335844995,1873.3201,397.7862,0.3755488,0.36221743810549,405.540092572659,1076.0585,339.84793,4.3392585e-05
528850,31817400,2020-01-04 06:10:00,269.88074,0.0,0.805475780409042,901.813905649085,67.56303,518.0906,0.0026206654,0.610602798708289,683.633335844995,1635.2012,380.37302,0.0004660026,0.36221743810549,405.540092572659,1054.6837,351.2468,1405.9305,0.610602798708289,683.633335844995,1651.7616,397.90207,0.37554395,0.36221743810549,405.540092572659,1065.9169,339.867,4.18751e-05
528855,31817700,2020-01-04 06:15:00,269.91534,0.0,0.805475780409042,901.813905649085,73.394684,518.0915,0.0026196726,0.610602798708289,683.633335844995,1648.4633,380.41626,0.00044019675,0.36221743810549,405.540092572659,1062.447,351.26385,1413.7109,0.610602798708289,683.633335844995,1664.8822,397.945,0.37554216,0.36221743810549,405.540092572659,1073.7825,339.88354,4.0556894e-05
528860,31818000,2020-01-04 06:20:00,269.95944,0.0,0.805475780409042,901.813905649085,73.7369,518.09155,0.0026196023,0.610602798708289,683.633335844995,1650.9749,380.4347,0.00042919934,0.36221743810549,405.540092572659,1062.717,351.2787,1413.9958,0.610602798708289,683.633335844995,1667.2675,397.9629,0.37554142,0.36221743810549,405.540092572659,1074.0636,339.89798,3.9408307e-05
528865,31818300,2020-01-04 06:25:00,270.01047,0.0,0.805475780409042,901.813905649085,308.00284,518.09155,0.002619591,0.610602798708289,683.633335844995,2337.0952,380.44528,0.00042288442,0.36221743810549,405.540092572659,1585.2072,351.29236,1936.4995,0.610602798708289,683.633335844995,2292.4373,397.973,0.375541,0.36221743810549,405.540092572659,1592.7297,339.9113,3.835011e-05
528870,31818600,2020-01-04 06:30:00,270.06592,0.0,0.805475780409042,901.813905649085,310.55997,518.09155,0.0026195908,0.610602798708289,683.633335844995,2341.0332,380.44943,0.00042039546,0.36221743810549,405.540092572659,1585.3569,351.30426,1936.6613,0.610602798708289,683.633335844995,2295.2534,397.97687,0.37554082,0.36221743810549,405.540092572659,1592.8843,339.9229,3.7423404e-05
