,timestamp,t_indoor_measured,t_indoor_predicted
2020-01-04 21:55:00,2020/01/04 21:55:00,16.724711222558653,16.769588490410115
2020-01-04 22:00:00,2020/01/04 22:00:00,17.362066913097635,16.751139334030768
2020-01-04 22:05:00,2020/01/04 22:05:00,17.994752417884683,16.891908991701655
2020-01-04 22:10:00,2020/01/04 22:10:00,17.928750270304022,17.125393740374932
2020-01-04 22:15:00,2020/01/04 22:15:00,17.86519337421322,17.468274286739017
2020-01-04 22:20:00,2020/01/04 22:20:00,17.75529179916265,17.626440250831877
2020-01-04 22:25:00,2020/01/04 22:25:00,17.648764561063047,17.733369951706436
2020-01-04 22:30:00,2020/01/04 22:30:00,17.659677687736007,17.72679108855118
2020-01-04 22:35:00,2020/01/04 22:35:00,17.67280093406231,17.733545435388237
2020-01-04 22:40:00,2020/01/04 22:40:00,17.69163610211973,17.706421235967525
2020-01-04 22:45:00,2020/01/04 22:45:00,17.71224043843978,17.697243039077307
2020-01-04 22:50:00,2020/01/04 22:50:00,17.69685337459299,17.67592845373167
2020-01-04 22:55:00,2020/01/04 22:55:00,17.683128571961902,17.663333131113973
2020-01-04 23:00:00,2020/01/04 23:00:00,17.655292832654084,17.642308362760446
2020-01-04 23:05:00,2020/01/04 23:05:00,17.628856218071746,17.62826161021269
2020-01-04 23:10:00,2020/01/04 23:10:00,17.61340066837505,17.60977495416671
2020-01-04 23:15:00,2020/01/04 23:15:00,17.598920784760253,17.600059864367722
2020-01-04 23:20:00,2020/01/04 23:20:00,17.58664825395971,17.589921956154797
2020-01-04 23:25:00,2020/01/04 23:25:00,17.575069246121757,17.584594872307207
2020-01-04 23:30:00,2020/01/04 23:30:00,17.558972809494207,17.577892385899588
2020-01-04 23:35:00,2020/01/04 23:35:00,17.54340798280998,17.571434902914575
2020-01-04 23:40:00,2020/01/04 23:40:00,17.525923013152635,17.561997153492314
2020-01-04 23:45:00,2020/01/04 23:45:00,17.5088351826995,17.55142182580971
