time,ElecLoads[core_zn],ElecLoads[perimeter_zn_1],ElecLoads[perimeter_zn_2],ElecLoads[perimeter_zn_3],ElecLoads[perimeter_zn_4],tdl
1242000,80.51708,61.0361,36.2074,61.0361,36.2074,20
1245600,80.51708,61.0361,36.2074,61.0361,36.2074,20
1249200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1252800,80.51708,61.0361,36.2074,61.0361,36.2074,20
1256400,80.51708,61.0361,36.2074,61.0361,36.2074,20
1260000,80.51708,61.0361,36.2074,61.0361,36.2074,5
1263600,80.51708,61.0361,36.2074,61.0361,36.2074,5
1267200,80.51708,61.0361,36.2074,61.0361,36.2074,5
1270800,80.51708,61.0361,36.2074,61.0361,36.2074,5
1274400,80.51708,61.0361,36.2074,61.0361,36.2074,20
1278000,80.51708,61.0361,36.2074,61.0361,36.2074,20
1281600,80.51708,61.0361,36.2074,61.0361,36.2074,20
1285200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1288800,80.51708,61.0361,36.2074,61.0361,36.2074,20
1292400,80.51708,61.0361,36.2074,61.0361,36.2074,20
1296000,80.51708,61.0361,36.2074,61.0361,36.2074,20
1299600,80.51708,61.0361,36.2074,61.0361,36.2074,20
1303200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1306800,80.51708,61.0361,36.2074,61.0361,36.2074,20
1310400,80.51708,61.0361,36.2074,61.0361,36.2074,20
1314000,161.03416,122.0722,72.4148,122.0722,72.4148,20
1317600,161.03416,122.0722,72.4148,122.0722,72.4148,20
1321200,483.10248,366.2166,217.2444,366.2166,217.2444,20
1324800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1328400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1332000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1335600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1339200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1342800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1346400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1350000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1353600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1357200,805.1708,610.361,362.074,610.361,362.074,5
1360800,483.10248,366.2166,217.2444,366.2166,217.2444,20
1364400,483.10248,366.2166,217.2444,366.2166,217.2444,20
1368000,322.06832,244.1444,144.8296,244.1444,144.8296,20
1371600,322.06832,244.1444,144.8296,244.1444,144.8296,20
1375200,161.03416,122.0722,72.4148,122.0722,72.4148,20
1378800,80.51708,61.0361,36.2074,61.0361,36.2074,20
1382400,80.51708,61.0361,36.2074,61.0361,36.2074,20
1386000,80.51708,61.0361,36.2074,61.0361,36.2074,20
1389600,80.51708,61.0361,36.2074,61.0361,36.2074,20
1393200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1396800,80.51708,61.0361,36.2074,61.0361,36.2074,20
1400400,161.03416,122.0722,72.4148,122.0722,72.4148,20
1404000,161.03416,122.0722,72.4148,122.0722,72.4148,20
1407600,483.10248,366.2166,217.2444,366.2166,217.2444,20
1411200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1414800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1418400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1422000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1425600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1429200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1432800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1436400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1440000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1443600,805.1708,610.361,362.074,610.361,362.074,5
1447200,483.10248,366.2166,217.2444,366.2166,217.2444,20
1450800,483.10248,366.2166,217.2444,366.2166,217.2444,20
1454400,322.06832,244.1444,144.8296,244.1444,144.8296,20
1458000,322.06832,244.1444,144.8296,244.1444,144.8296,20
1461600,161.03416,122.0722,72.4148,122.0722,72.4148,20
1465200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1468800,80.51708,61.0361,36.2074,61.0361,36.2074,20
1472400,80.51708,61.0361,36.2074,61.0361,36.2074,20
1476000,80.51708,61.0361,36.2074,61.0361,36.2074,20
1479600,80.51708,61.0361,36.2074,61.0361,36.2074,20
1483200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1486800,161.03416,122.0722,72.4148,122.0722,72.4148,20
1490400,161.03416,122.0722,72.4148,122.0722,72.4148,20
1494000,483.10248,366.2166,217.2444,366.2166,217.2444,20
1497600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1501200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1504800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1508400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1512000,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1515600,1449.30744,1098.6498,651.7332,1098.6498,651.7332,20
1519200,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1522800,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1526400,1449.30744,1098.6498,651.7332,1098.6498,651.7332,5
1530000,805.1708,610.361,362.074,610.361,362.074,5
1533600,483.10248,366.2166,217.2444,366.2166,217.2444,20
1537200,483.10248,366.2166,217.2444,366.2166,217.2444,20
1540800,322.06832,244.1444,144.8296,244.1444,144.8296,20
1544400,322.06832,244.1444,144.8296,244.1444,144.8296,20
1548000,161.03416,122.0722,72.4148,122.0722,72.4148,20
1551600,80.51708,61.0361,36.2074,61.0361,36.2074,20
1555200,80.51708,61.0361,36.2074,61.0361,36.2074,20
1558800,80.51708,61.0361,36.2074,61.0361,36.2074,20
1562400,80.51708,61.0361,36.2074,61.0361,36.2074,20
1566000,80.51708,61.0361,36.2074,61.0361,36.2074,20
1569600,80.51708,61.0361,36.2074,61.0361,36.2074,20
